library,profile_c604,term,overlap_size_c604,mean_r_c604,median_r_c604,auc_c604,p_value_c604,fdr_c604,rank_positive_c604,profile_mastl,overlap_size_mastl,mean_r_mastl,median_r_mastl,auc_mastl,p_value_mastl,fdr_mastl,rank_positive_mastl
Reactome_2022,C-604 2 uM endpoint,Packaging Of Telomere Ends R-HSA-171306,21,0.030126589179006062,0.03933717976579579,0.7155715172474949,0.00031324234924958935,0.00995256373297559,44,MASTL dependency profile,21,0.06655865366731359,0.057192703482348436,0.8172169059674151,2.421637342058067e-07,3.761610004663531e-05,9
Reactome_2022,C-604 2 uM endpoint,Mitochondrial tRNA Aminoacylation R-HSA-379726,21,0.028898973141450512,0.03774224979022063,0.7019486565575951,0.000678219557627194,0.018585273318427117,51,MASTL dependency profile,21,0.0345245377290596,0.0432291136415947,0.7258641569879422,0.00016972655496634388,0.0040216563363211656,59
Reactome_2022,C-604 2 uM endpoint,Homologous DNA Pairing And Strand Exchange R-HSA-5693579,41,0.028828611653219847,0.022466867998709835,0.6744490737846087,5.560691560265634e-05,0.0026148670059442237,29,MASTL dependency profile,41,0.02728809711361874,0.019870926407215682,0.6493890004448025,0.00046723770703771224,0.00989694415816245,66
Reactome_2022,C-604 2 uM endpoint,Nucleotide Biosynthesis R-HSA-8956320,13,0.02850130499268962,0.024786949364125295,0.7425725740057988,0.001228978636316584,0.030680573813760437,56,MASTL dependency profile,13,0.042935479463584475,0.05958379450857236,0.7559098454916033,0.0006991922335686363,0.0133900101716295,73
Reactome_2022,C-604 2 uM endpoint,Removal Of Flap Intermediate From C-strand R-HSA-174437,14,0.027854475546265727,0.03451335228232133,0.703100459542784,0.0042528434045230835,0.08034425783139555,74,MASTL dependency profile,14,0.04862206243243202,0.03205197334391848,0.698246488822405,0.005108151410414653,0.06612218214592301,108
Reactome_2022,C-604 2 uM endpoint,Presynaptic Phase Of Homologous DNA Pairing And Strand Exchange R-HSA-5693616,38,0.027578649437204783,0.020514613995721236,0.6626008283947475,0.00026193002457792775,0.008931174984388853,41,MASTL dependency profile,38,0.02834573663286202,0.021187651758393797,0.6582902555234644,0.0003673317055434836,0.00802390194296547,64
Reactome_2022,C-604 2 uM endpoint,RNA Polymerase I Promoter Opening R-HSA-73728,21,0.02665423024522801,0.03444970154235707,0.6878325352487363,0.0014420880953869334,0.03536910802370058,57,MASTL dependency profile,21,0.05085366860948831,0.046738545763185736,0.7898698325864711,2.1269424305625505e-06,0.00015649818515402344,19
Reactome_2022,C-604 2 uM endpoint,Processive Synthesis On C-strand Of Telomere R-HSA-174414,16,0.026549069826584143,0.03451335228232133,0.697139158764326,0.0031641684650568504,0.06602250021118622,67,MASTL dependency profile,16,0.04422804507798676,0.03205197334391848,0.6806965615545729,0.006165240465030803,0.0762743908859563,113
Reactome_2022,C-604 2 uM endpoint,HDR Thru Single Strand Annealing (SSA) R-HSA-5685938,35,0.025998312087162533,0.022466867998709835,0.66051085780847,0.0005080444685322541,0.01544013406539329,46,MASTL dependency profile,35,0.027618042363953606,0.023120118334215522,0.6607157418270471,0.0005005314076087633,0.010443923997567927,67
Reactome_2022,C-604 2 uM endpoint,Deposition Of New CENPA-containing Nucleosomes At Centromere R-HSA-606279,42,0.025847382570623485,0.034374859645884076,0.6855000929463436,1.5965120528814238e-05,0.0010145108408764684,22,MASTL dependency profile,42,0.05165039201576153,0.05388199338462752,0.7952938662937498,1.783572707000541e-11,1.246717322193378e-08,2
